customer_id,churn_date,primary_reason,competitor_named,interview_completed,nps_at_churn
4,2023-04-03,price,,True,7
6,2024-05-06,consolidation,,False,
7,2024-11-27,no_need,,True,
12,2023-02-24,ai_alternative,HireSense AI,True,6
13,2025-02-13,ai_alternative,HireSense AI,True,6
19,2024-11-03,consolidation,,False,
20,2025-11-26,consolidation,,True,1
24,2023-04-05,ai_alternative,,False,
26,2024-06-20,no_need,,True,5
28,2025-10-01,quality,,True,2
31,2024-06-05,ai_alternative,,False,
33,2024-10-28,ai_alternative,,False,
34,2023-06-20,quality,,True,1
36,2023-02-18,price,,True,4
38,2024-02-02,no_need,,True,
40,2024-12-19,no_need,,False,
42,2024-02-02,no_need,,False,
43,2023-12-13,consolidation,DevForge.ai,True,5
46,2024-02-20,price,,True,0
47,2024-08-10,ai_alternative,HireSense AI,True,5
48,2024-04-24,price,,True,5
52,2023-06-27,consolidation,,True,5
53,2023-06-14,price,,True,0
55,2023-01-12,consolidation,,True,
57,2024-05-04,consolidation,,True,0
60,2024-09-18,no_need,,True,3
61,2023-11-24,no_need,Конкурент-маркетплейс,True,0
67,2025-05-03,ai_alternative,,False,
70,2023-04-01,price,,False,
72,2023-02-01,quality,,False,
75,2025-07-11,no_need,,False,
80,2023-09-28,quality,,True,
82,2024-01-17,ai_alternative,MarketAI,True,7
85,2023-05-09,price,,False,
86,2023-10-16,consolidation,,True,0
87,2023-10-21,ai_alternative,AILegal Pro,True,8
88,2023-03-04,no_need,,False,
90,2024-01-30,ai_alternative,MarketAI,True,2
93,2024-08-06,quality,,False,
95,2024-04-07,no_need,,False,
96,2024-10-16,no_need,,True,1
97,2023-02-04,no_need,,True,
99,2023-06-26,consolidation,,False,
102,2023-05-08,price,,True,1
106,2023-08-10,price,,False,
113,2024-01-06,no_need,,True,3
114,2024-06-04,no_need,,False,
115,2025-09-06,consolidation,,False,
118,2023-10-16,price,,True,2
122,2025-02-19,no_need,,True,2
127,2024-01-23,consolidation,HireSense AI,True,5
130,2024-08-18,price,HireSense AI,True,4
132,2024-05-01,quality,,True,
134,2024-05-24,price,,False,
135,2025-01-19,price,,False,
137,2023-08-15,consolidation,,False,
144,2023-02-09,other,,True,4
145,2023-11-17,price,,False,
152,2023-06-01,ai_alternative,FinBot Pro,True,
153,2023-11-23,other,,True,4
155,2025-03-20,ai_alternative,,False,
157,2024-02-26,other,,False,
160,2024-07-04,consolidation,,True,3
161,2023-02-04,price,,True,4
162,2023-02-24,consolidation,,True,5
164,2025-11-26,no_need,,False,
166,2023-05-19,quality,Ушли inhouse,True,
168,2025-05-07,no_need,,False,
169,2023-02-20,no_need,,True,
170,2024-08-11,consolidation,,False,
171,2023-08-02,quality,,False,
183,2025-04-28,price,,True,0
186,2023-12-17,ai_alternative,HireSense AI,True,
187,2023-03-04,price,Ушли inhouse,True,2
188,2023-06-05,other,,True,0
193,2024-11-02,consolidation,,True,
195,2023-08-08,ai_alternative,AILegal Pro,True,3
197,2024-12-02,other,,False,
200,2023-08-23,no_need,,False,
201,2023-11-07,no_need,,True,4
202,2023-07-07,ai_alternative,,False,
203,2025-12-18,quality,,True,
207,2023-11-13,consolidation,,True,0
211,2024-02-18,other,,False,
215,2023-06-19,ai_alternative,MarketAI,True,2
218,2023-03-26,ai_alternative,MarketAI,True,1
219,2023-06-28,price,,False,
222,2023-04-16,quality,,True,5
223,2023-08-07,quality,,True,
224,2024-01-24,other,,True,0
231,2023-08-21,price,,True,5
233,2024-01-20,ai_alternative,,False,
234,2024-08-01,price,,True,4
235,2024-08-26,price,,True,
240,2024-04-11,consolidation,,False,
245,2023-02-13,consolidation,,False,
249,2024-03-17,no_need,,False,
250,2025-02-05,price,,False,
252,2024-06-06,price,,True,3
257,2023-02-02,price,,True,
259,2023-01-28,quality,,False,
260,2024-12-02,no_need,,True,3
263,2023-05-03,quality,,False,
264,2024-02-09,no_need,,False,
267,2024-12-15,other,,True,0
268,2024-01-26,quality,,False,
269,2023-09-20,ai_alternative,MarketAI,True,
271,2023-06-20,price,,False,
275,2024-07-08,no_need,,True,
279,2024-01-08,price,MarketAI,True,0
280,2023-06-15,price,,False,
281,2024-04-21,no_need,,False,
289,2023-02-18,quality,,True,4
293,2023-05-06,consolidation,,True,5
299,2024-04-03,consolidation,,False,
300,2024-02-26,price,HireSense AI,True,
301,2023-11-03,quality,,True,2
309,2023-08-28,quality,,True,5
310,2023-05-04,price,,False,
322,2024-11-23,quality,,True,2
323,2024-10-28,no_need,,False,
324,2023-10-02,no_need,,True,
326,2023-05-15,quality,MarketAI,True,0
327,2023-10-01,price,,True,2
328,2025-11-20,quality,,True,
334,2024-10-16,ai_alternative,FinBot Pro,True,0
335,2025-02-26,no_need,,True,5
341,2024-05-09,ai_alternative,HireSense AI,True,3
342,2023-10-25,other,,True,
345,2024-08-03,ai_alternative,AILegal Pro,True,2
348,2023-12-26,price,,False,
352,2025-08-26,price,Ушли inhouse,True,0
354,2023-03-14,no_need,,True,3
356,2023-01-27,consolidation,,False,
361,2023-10-11,no_need,AILegal Pro,True,
362,2023-04-28,consolidation,,True,3
367,2023-06-25,no_need,,False,
370,2023-01-27,price,,False,
371,2025-09-15,price,,False,
375,2024-01-30,ai_alternative,MarketAI,True,
376,2025-07-10,other,,False,
377,2025-06-12,price,,True,2
378,2023-06-07,other,,False,
388,2024-02-07,no_need,,False,
391,2025-02-27,ai_alternative,HireSense AI,True,2
395,2024-08-27,consolidation,HireSense AI,True,5
397,2024-05-20,price,,True,
402,2024-01-02,consolidation,Конкурент-маркетплейс,True,4
407,2025-08-11,no_need,,False,
408,2024-06-03,ai_alternative,,False,
409,2023-06-11,price,,True,2
