customer_id,segment,industry,city,employee_count_band,signup_date,churn_date,contract_type,acquisition_channel
1,Mid,Финуслуги,Санкт-Петербург,200-500,2023-10-30,,annual,direct
2,SMB,Медиа,Москва,<50,2023-10-18,,annual,paid
3,SMB,Образование,Санкт-Петербург,50-200,2024-03-16,,annual,paid
4,Mid,Недвижимость,Москва,200-500,2021-01-10,2023-04-03,pay_as_you_go,referral
5,Large,Производство,Санкт-Петербург,50-200,2022-12-20,,annual,direct
6,Large,HoReCa,Новосибирск,200-500,2021-08-02,2024-05-06,monthly,paid
7,SMB,Логистика,Москва,50-200,2021-05-26,2024-11-27,monthly,organic
8,Large,ИТ и софт,Санкт-Петербург,200-500,2023-06-04,,annual,organic
9,Large,ИТ и софт,Москва,200-500,2024-10-21,,annual,paid
10,SMB,Образование,Воронеж,<50,2023-09-16,,pay_as_you_go,paid
11,Large,Образование,Москва,500+,2024-09-27,,monthly,direct
12,SMB,Образование,Москва,50-200,2022-12-28,2023-02-24,monthly,paid
13,Mid,Логистика,Санкт-Петербург,50-200,2025-01-07,2025-02-13,annual,paid
14,SMB,Профуслуги,Москва,<50,2023-09-14,,monthly,direct
15,SMB,Профуслуги,Москва,200-500,2022-09-24,,monthly,direct
16,SMB,Медиа,Москва,<50,2023-09-18,,annual,direct
17,SMB,Строительство,Санкт-Петербург,50-200,2021-12-19,,monthly,direct
18,Mid,Логистика,Санкт-Петербург,50-200,2025-01-10,,annual,organic
19,SMB,Профуслуги,Краснодар,<50,2022-03-19,2024-11-03,annual,referral
20,SMB,HoReCa,Москва,500+,2019-05-01,2025-11-26,monthly,paid
21,Mid,Строительство,Москва,200-500,2020-08-04,,monthly,organic
22,Mid,Образование,Москва,200-500,2021-07-15,,monthly,organic
23,Mid,Медицина,Москва,50-200,2020-06-10,,monthly,direct
24,SMB,Профуслуги,Екатеринбург,<50,2020-08-20,2023-04-05,monthly,organic
25,Large,HoReCa,Ростов-на-Дону,200-500,2022-09-14,,annual,organic
26,SMB,HoReCa,Москва,<50,2023-12-20,2024-06-20,monthly,referral
27,Mid,Логистика,Нижний Новгород,<50,2020-04-14,,annual,organic
28,SMB,Медиа,Москва,<50,2022-06-04,2025-10-01,monthly,direct
29,SMB,Медицина,Санкт-Петербург,<50,2025-11-22,,monthly,paid
30,SMB,Производство,Москва,50-200,2023-10-28,,annual,referral
31,Mid,Профуслуги,Самара,50-200,2022-11-20,2024-06-05,annual,paid
32,Mid,ИТ и софт,Краснодар,200-500,2024-11-29,,pay_as_you_go,paid
33,SMB,Розница,Ростов-на-Дону,<50,2021-04-06,2024-10-28,annual,direct
34,Large,Розница,Москва,200-500,2022-04-17,2023-06-20,pay_as_you_go,organic
35,SMB,HoReCa,Воронеж,50-200,2023-04-19,,annual,organic
36,Mid,Строительство,Екатеринбург,200-500,2021-04-03,2023-02-18,monthly,organic
37,SMB,Образование,Москва,<50,2022-08-27,,annual,referral
38,SMB,Медицина,Самара,<50,2023-08-09,2024-02-02,monthly,paid
39,SMB,Образование,Воронеж,<50,2025-05-15,,monthly,referral
40,SMB,HoReCa,Москва,<50,2020-02-01,2024-12-19,monthly,organic
41,SMB,Производство,Краснодар,<50,2023-06-19,,annual,direct
42,SMB,HoReCa,Новосибирск,<50,2020-10-12,2024-02-02,monthly,referral
43,SMB,Недвижимость,Казань,<50,2019-09-02,2023-12-13,monthly,organic
44,SMB,Образование,Новосибирск,<50,2022-04-22,,annual,paid
45,SMB,Логистика,Екатеринбург,50-200,2022-06-12,,monthly,direct
46,SMB,Производство,Нижний Новгород,<50,2023-04-25,2024-02-20,pay_as_you_go,paid
47,SMB,ИТ и софт,Казань,200-500,2022-10-31,2024-08-10,monthly,paid
48,SMB,Розница,Нижний Новгород,<50,2023-04-19,2024-04-24,annual,paid
49,Mid,Розница,Казань,50-200,2024-01-27,,annual,referral
50,Mid,Финуслуги,Москва,200-500,2023-11-14,,monthly,direct
51,Mid,Недвижимость,Москва,200-500,2019-07-29,,pay_as_you_go,organic
52,SMB,Логистика,Екатеринбург,<50,2021-03-16,2023-06-27,pay_as_you_go,referral
53,SMB,HoReCa,Новосибирск,<50,2022-04-12,2023-06-14,pay_as_you_go,paid
