response_id,customer_id,product_line_id,response_date,score,category,comment_tag
1,19,9,2023-02-12,5,detractor,price
2,20,1,2023-03-12,4,detractor,churn_intent
3,23,3,2023-03-19,9,promoter,nps_growth
4,31,9,2023-02-13,4,detractor,quality
5,33,7,2023-01-29,5,detractor,quality
6,37,9,2023-02-06,9,promoter,nps_growth
7,52,4,2023-01-24,8,passive,nps_growth
8,57,5,2023-02-27,8,passive,quality
9,64,9,2023-02-22,10,promoter,nps_growth
10,70,8,2023-03-18,8,passive,quality
11,71,1,2023-03-07,10,promoter,nps_growth
12,84,8,2023-01-30,9,promoter,nps_growth
13,86,6,2023-03-06,6,detractor,quality
14,93,3,2023-01-30,5,detractor,quality
15,94,3,2023-02-02,9,promoter,nps_growth
16,102,5,2023-02-09,6,detractor,quality
17,103,9,2023-03-14,9,promoter,nps_growth
18,108,1,2023-03-21,10,promoter,nps_growth
19,118,6,2023-03-09,5,detractor,churn_intent
20,124,3,2023-02-06,7,passive,price
21,126,3,2023-02-27,6,detractor,support
22,132,5,2023-01-24,5,detractor,churn_intent
23,142,2,2023-02-22,10,promoter,nps_growth
24,144,3,2023-03-12,5,detractor,churn_intent
25,145,2,2023-03-04,4,detractor,quality
26,149,4,2023-02-01,8,passive,price
27,152,4,2023-01-31,4,detractor,price
28,164,7,2023-01-31,5,detractor,quality
29,170,8,2023-03-14,3,detractor,support
30,171,2,2023-03-14,2,detractor,quality
31,174,5,2023-02-05,10,promoter,nps_growth
32,176,3,2023-03-18,10,promoter,nps_growth
33,178,2,2023-02-11,10,promoter,nps_growth
34,179,6,2023-02-10,9,promoter,nps_growth
35,185,2,2023-01-26,10,promoter,nps_growth
36,186,3,2023-03-16,7,passive,price
37,187,2,2023-03-03,6,detractor,price
38,191,5,2023-03-21,7,passive,price
39,194,1,2023-02-22,10,promoter,nps_growth
40,207,6,2023-01-22,6,detractor,quality
41,226,1,2023-03-18,10,promoter,nps_growth
42,233,5,2023-03-04,5,detractor,churn_intent
43,235,7,2023-02-12,5,detractor,quality
44,239,8,2023-02-14,10,promoter,nps_growth
45,242,6,2023-03-10,9,promoter,nps_growth
46,243,2,2023-03-04,10,promoter,nps_growth
47,245,1,2023-02-12,7,passive,nps_growth
48,251,3,2023-01-23,9,promoter,nps_growth
49,252,7,2023-01-23,5,detractor,price
50,254,9,2023-02-21,7,passive,price
51,260,1,2023-02-02,4,detractor,churn_intent
52,264,2,2023-03-13,7,passive,nps_growth
53,267,2,2023-01-27,3,detractor,support
54,273,9,2023-02-18,10,promoter,nps_growth
55,280,2,2023-02-28,4,detractor,quality
56,281,1,2023-03-05,8,passive,price
57,284,4,2023-03-19,10,promoter,nps_growth
58,287,1,2023-02-06,9,promoter,nps_growth
59,288,6,2023-02-05,9,promoter,nps_growth
60,289,3,2023-02-24,8,passive,quality
61,299,3,2023-02-14,6,detractor,support
62,300,2,2023-01-28,6,detractor,support
63,303,2,2023-03-17,8,passive,quality
64,309,2,2023-02-28,3,detractor,price
65,310,6,2023-01-25,6,detractor,quality
66,314,9,2023-01-25,10,promoter,nps_growth
67,317,9,2023-02-13,9,promoter,nps_growth
68,322,8,2023-03-12,3,detractor,price
69,330,3,2023-01-25,9,promoter,nps_growth
70,338,2,2023-02-25,7,passive,quality
71,344,3,2023-01-29,9,promoter,nps_growth
72,346,1,2023-03-14,7,passive,price
73,347,3,2023-03-09,9,promoter,nps_growth
74,351,4,2023-03-07,10,promoter,nps_growth
75,352,4,2023-02-17,3,detractor,quality
76,364,8,2023-02-04,7,passive,price
77,369,5,2023-02-13,10,promoter,nps_growth
78,371,1,2023-02-20,6,detractor,support
79,373,1,2023-03-10,10,promoter,nps_growth
80,377,9,2023-02-14,5,detractor,quality
81,394,2,2023-03-02,8,passive,price
82,395,4,2023-01-27,7,passive,quality
83,396,6,2023-02-04,10,promoter,nps_growth
84,399,4,2023-03-18,10,promoter,nps_growth
85,403,9,2023-01-27,8,passive,quality
86,418,8,2023-01-24,10,promoter,nps_growth
87,419,7,2023-02-22,4,detractor,quality
88,425,3,2023-02-03,8,passive,support
